"","X1","K_beta","Mean_C1","Mean_C2","N","N_C1","N_C2","N_Tail","pi_C1","pi_C2","pi_Tail","rcc_C1","rcc_C2","rcc_Tail","Scale_Tail","Shape_Tail","tail","Variance_C1","Variance_C2","coverage","K_B","K_BB","karyotype","sample","samplename","Mean_C3","N_C3","pi_C3","rcc_C3","Variance_C3","Mean_Tail","Variance_Tail","purity","ploidy","purity_conf_mad","wgd_status","wgd_uncertain"
"3715",3715,2,0.281483321289719,0.0944191822814577,357,313,44,0,0.875270904293786,0.124729095706214,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.0026501995927909,0.000821689317506576,74,2,0,"1:0","71ef8379-03a0-4b81-92c9-1ba666fe4d7a","71ef8379-03a0-4b81-92c9-1ba666fe4d7a",NA,NA,NA,NA,NA,NA,NA,0.44,1.85,0.003,"no_wgd",FALSE
"3716",3716,2,0.218885892663382,0.0805338232230985,3763,3430,333,0,0.910641498255972,0.0893585017440279,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.00189262704254461,0.000454039511996294,94,2,0,"1:1","71ef8379-03a0-4b81-92c9-1ba666fe4d7a","71ef8379-03a0-4b81-92c9-1ba666fe4d7a",NA,NA,NA,NA,NA,NA,NA,0.44,1.85,0.003,"no_wgd",FALSE
"3717",3717,1,0.166876923076923,NA,91,91,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00766085540152156,NA,120,3,0,"2:1","71ef8379-03a0-4b81-92c9-1ba666fe4d7a","71ef8379-03a0-4b81-92c9-1ba666fe4d7a",NA,NA,NA,NA,NA,NA,NA,0.44,1.85,0.003,"no_wgd",FALSE
"3718",3718,1,0.454812658227848,NA,316,316,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0228216474979971,NA,24,2,0,"1:0","71fda5a9-7049-406f-9348-2c24f7ddf5f4","71fda5a9-7049-406f-9348-2c24f7ddf5f4",NA,NA,NA,NA,NA,NA,NA,0.669,2.847,0.019,"wgd",FALSE
"3719",3719,1,0.306096245733789,NA,586,586,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0100197789961444,NA,34.5,1,0,"1:1","71fda5a9-7049-406f-9348-2c24f7ddf5f4","71fda5a9-7049-406f-9348-2c24f7ddf5f4",NA,NA,NA,NA,NA,NA,NA,0.669,2.847,0.019,"wgd",FALSE
"3720",3720,1,0.283428813073181,NA,2020,2020,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0206072523247396,NA,44,2,0,"2:1","71fda5a9-7049-406f-9348-2c24f7ddf5f4","71fda5a9-7049-406f-9348-2c24f7ddf5f4",NA,NA,NA,NA,NA,NA,NA,0.669,2.847,0.019,"wgd",FALSE
"3721",3721,1,0.412171650349484,NA,2279,2279,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0441822410346858,NA,35,3,0,"2:0","71fda5a9-7049-406f-9348-2c24f7ddf5f4","71fda5a9-7049-406f-9348-2c24f7ddf5f4",NA,NA,NA,NA,NA,NA,NA,0.669,2.847,0.019,"wgd",FALSE
"3722",3722,1,0.258559587020648,NA,1356,1356,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0154200794877351,NA,57,2,0,"2:2","71fda5a9-7049-406f-9348-2c24f7ddf5f4","71fda5a9-7049-406f-9348-2c24f7ddf5f4",NA,NA,NA,NA,NA,NA,NA,0.669,2.847,0.019,"wgd",FALSE
"3723",3723,2,0.408328220479022,0.1136210563065,303,257,46,0,0.848979686466823,0.151020313533177,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.00634485089883722,0.0018924762574297,48,2,0,"1:1","7243992d-0763-4b75-8066-e8e5309d0193","7243992d-0763-4b75-8066-e8e5309d0193",NA,NA,NA,NA,NA,NA,NA,0.83,2.583,0.013,"no_wgd",FALSE
"3724",3724,3,0.609036038859296,0.286574514482771,603,27,516,0,0.0442529525261881,0.857840877263577,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.00721358986266266,0.00376900287909182,69,3,0,"2:1","7243992d-0763-4b75-8066-e8e5309d0193","7243992d-0763-4b75-8066-e8e5309d0193",0.0751532423484688,60,0.0979061702102344,FALSE,0.000508160717052539,NA,NA,0.83,2.583,0.013,"no_wgd",FALSE
