K_beta,Mean_C1,Mean_C2,N,N_C1,N_C2,N_Tail,pi_C1,pi_C2,pi_Tail,rcc_C1,rcc_C2,rcc_Tail,Scale_Tail,Shape_Tail,tail,Variance_C1,Variance_C2,score,samplename,karyotype,Mean_C3,N_C3,pi_C3,rcc_C3,Variance_C3,Mean_Tail,Variance_Tail
2,0.6231432093709175,0.4825450409406768,59,18,41,0,0.3556405979161171,0.644359402083883,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.11623467126534498,0.0028070856720300206,reICL,0bfd1068-3fe6-a95b-e050-11ac0c4860c3,2:0,NA,NA,NA,NA,NA,NA,NA
2,0.47822010292129014,0.22615445021777358,136,25,111,0,0.18209526389111205,0.8179047361088879,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.0014734002392703413,0.0038403668243843104,reICL,0bfd1068-3fe6-a95b-e050-11ac0c4860c3,2:2,NA,NA,NA,NA,NA,NA,NA
1,0.6259905648908225,NA,63,46,NA,17,0.7124166843226492,NA,0.28758331567735085,TRUE,NA,TRUE,0.115399999,1.2664765356648648,TRUE,0.004243913411367497,NA,reICL,0bfe2ac9-0aec-c248-e050-11ac0d487e1c,1:0,NA,NA,NA,NA,NA,0.548458762361939,Inf
1,0.3629395409554457,NA,1443,1338,NA,105,0.8986128740114557,NA,0.1013871259885443,TRUE,NA,TRUE,0.051299999,1.4708959575258433,TRUE,0.027523926380192337,NA,reICL,0bfe2ac9-0aec-c248-e050-11ac0d487e1c,2:1,NA,NA,NA,NA,NA,0.16024125912365395,Inf
2,0.8330406420041889,0.4245736466724879,267,139,49,79,0.5100023085699944,0.16740473759990454,0.32259295383010106,FALSE,FALSE,FALSE,0.068199999,1.2586964049046812,TRUE,0.005047127418418952,0.006592761925632927,reICL,0bfe2ac9-0aec-c248-e050-11ac0d487e1c,2:0,NA,NA,NA,NA,NA,0.33182948014848695,Inf
2,0.4436437309354817,0.22120788306178338,2364,1457,475,432,0.5965400607249259,0.20152830499853194,0.20193163427654215,TRUE,TRUE,FALSE,0.050599999,1.5655268691005335,TRUE,0.003140343792424662,0.005436723430576645,reICL,0bfe2ac9-0aec-c248-e050-11ac0d487e1c,2:2,NA,NA,NA,NA,NA,0.14007408372470803,Inf
1,0.7139687632442321,NA,62,46,NA,16,0.7381951323952741,NA,0.2618048676047258,TRUE,NA,TRUE,0.130399999,3.0289224282076583,TRUE,0.013075974338375694,NA,reICL,0bfe2ac9-0aee-c248-e050-11ac0d487e1c,1:0,NA,NA,NA,NA,NA,0.19467056804052996,0.012159894507502135
2,0.583054573354896,0.30060239661815513,1225,395,483,347,0.31021980296106233,0.36761626616132836,0.3221639308776093,FALSE,TRUE,FALSE,0.052599999,1.4392315811594036,TRUE,0.004245525025265492,0.006464334805766271,reICL,0bfe2ac9-0aee-c248-e050-11ac0d487e1c,2:1,NA,NA,NA,NA,NA,0.1723545914661339,Inf
1,0.8511585717545224,NA,302,141,NA,161,0.4498146966245588,NA,0.5501853033754412,TRUE,NA,TRUE,0.060599999,1.0919988956131912,TRUE,0.009328862817803995,NA,reICL,0bfe2ac9-0aee-c248-e050-11ac0d487e1c,2:0,NA,NA,NA,NA,NA,0.7193035475164119,Inf
1,0.4506818894733747,NA,2543,1637,NA,906,0.6243823327501764,NA,0.37561766724982365,TRUE,NA,TRUE,0.050599999,1.3766908079837636,TRUE,0.004095405464990604,NA,reICL,0bfe2ac9-0aee-c248-e050-11ac0d487e1c,2:2,NA,NA,NA,NA,NA,0.18492767020290599,Inf
